Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
06/05/26,UPI-SPOTIFY INDIA-spotify@icici-AUTOPAY,423682,06/05/26,119.00,,"42,253.82"
07/05/26,UPI-SHREE KIRANA STORES-q235623@ybl,493682,07/05/26,389.61,,"41,864.21"
08/05/26,UPI-SWIGGY-swiggy@icici-545140-ORDER,563682,08/05/26,192.64,,"41,671.57"
08/05/26,UPI-AIRTEL PREPAID-airtel@axisbank-RECHARGE,563682,08/05/26,379.00,,"41,292.57"
09/05/26,POS 4532XXXX8821 IN*RAZ*ORDERS,633682,09/05/26,339.91,,"40,952.66"
10/05/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-666950,703682,10/05/26,336.04,,"40,616.62"
10/05/26,UPI-OLA CABS-olacabs@ybl-176756,703682,10/05/26,260.96,,"40,355.66"
11/05/26,UPI-UBER INDIA-uber@axisbank-575198,773682,11/05/26,260.90,,"40,094.76"
11/05/26,NEFT-UTIB0000123-TRF-824035,773682,11/05/26,"1,739.03",,"38,355.73"
11/05/26,BILLPAY MSEDCL ELECTRICITY MAHARASHTRA,773682,11/05/26,"1,460.00",,"36,895.73"
12/05/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-846702,843682,12/05/26,200.92,,"36,694.81"
12/05/26,UPI-UBER INDIA-uber@axisbank-932967,843682,12/05/26,192.90,,"36,501.91"
12/05/26,POS 4532XXXX8821 INDIANOIL PETROL PUMP,843682,12/05/26,656.62,,"35,845.29"
13/05/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-331821,913682,13/05/26,180.83,,"35,664.46"
13/05/26,UPI-BIGBASKET-bbdaily@icici-463861,913682,13/05/26,820.93,,"34,843.53"
13/05/26,IMPS-CASHBACK CREDIT-513264,913682,13/05/26,,53.47,"34,897.00"
14/05/26,UPI-FLIPKART INTERNET-flipkart@axisbank-815887,983682,14/05/26,"1,781.05",,"33,115.95"
18/05/26,UPI-AMAZON PAY INDIA-amazon@apl-243577,263682,18/05/26,864.00,,"32,251.95"
18/05/26,NEFT-UTIB0000123-TRF-693851,263682,18/05/26,980.03,,"31,271.92"
19/05/26,UPI-SWIGGY-swiggy@icici-705136-ORDER,333682,19/05/26,595.42,,"30,676.50"
19/05/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-296997,333682,19/05/26,399.91,,"30,276.59"
19/05/26,UPI-DOMINOS PIZZA-jubilant@axisbank-315963,333682,19/05/26,270.99,,"30,005.60"
22/05/26,UPI-UBER INDIA-uber@axisbank-914983,543682,22/05/26,288.01,,"29,717.59"
22/05/26,UPI-DMART READY-dmart@hdfcbank-866676,543682,22/05/26,572.30,,"29,145.29"
22/05/26,UPI-DMART READY-dmart@hdfcbank-398420,543682,22/05/26,"1,647.13",,"27,498.16"
23/05/26,UPI-DMART READY-dmart@hdfcbank-706020,613682,23/05/26,919.64,,"26,578.52"
24/05/26,UPI-SHREE KIRANA STORES-q509940@ybl,683682,24/05/26,186.57,,"26,391.95"
24/05/26,UPI-BHARATPE098765-MERCHANT PAY-917857,683682,24/05/26,56.74,,"26,335.21"
25/05/26,UPI-RAPIDO BIKE-rapido@paytm-927425,753682,25/05/26,93.60,,"26,241.61"
26/05/26,POS 4532XXXX8821 INDIANOIL PETROL PUMP,823682,26/05/26,573.72,,"25,667.89"
27/05/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-208061,893682,27/05/26,446.44,,"25,221.45"
28/05/26,UPI-FLIPKART INTERNET-flipkart@axisbank-840710,963682,28/05/26,"1,170.31",,"24,051.14"
29/05/26,UPI-OLA CABS-olacabs@ybl-570636,33682,29/05/26,173.35,,"23,877.79"
29/05/26,UPI-RAPIDO BIKE-rapido@paytm-456644,33682,29/05/26,120.93,,"23,756.86"
30/05/26,UPI-SWIGGY-swiggy@icici-139317-ORDER,103682,30/05/26,388.49,,"23,368.37"
31/05/26,UPI-SWIGGY-swiggy@icici-782554-ORDER,173682,31/05/26,220.90,,"23,147.47"
31/05/26,UPI-SWIGGY-swiggy@icici-757911-ORDER,173682,31/05/26,254.92,,"22,892.55"
31/05/26,UPI-MYNTRA DESIGNS-myntra@ybl-187015,173682,31/05/26,830.75,,"22,061.80"
31/05/26,UPI-BHARATPE098765-MERCHANT PAY-809047,173682,31/05/26,231.45,,"21,830.35"
31/05/26,UPI-BHARATPE098765-MERCHANT PAY-936630,173682,31/05/26,311.10,,"21,519.25"
01/06/26,UPI-SWIGGY-swiggy@icici-662685-ORDER,74382,01/06/26,416.39,,"21,102.86"
01/06/26,UPI-SWIGGY-swiggy@icici-318054-ORDER,74382,01/06/26,183.05,,"20,919.81"
01/06/26,UPI-OLA CABS-olacabs@ybl-928494,74382,01/06/26,386.57,,"20,533.24"
01/06/26,NEFT-UTIB0000123-TRF-407197,74382,01/06/26,827.39,,"19,705.85"
01/06/26,NEFT-ACME SOFTWARE PVT LTD-SALARY CREDIT,74382,01/06/26,,"46,000.00","65,705.85"
02/06/26,UPI-SANDEEP PATIL-sandeep1987@oksbi-HOUSE RENT,144382,02/06/26,"8,500.00",,"57,205.85"
03/06/26,UPI-SHREE KIRANA STORES-q856888@ybl,214382,03/06/26,402.32,,"56,803.53"
03/06/26,UPI-CULT FITNESS GYM-cultfit@ybl-AUTOPAY,214382,03/06/26,"1,200.00",,"55,603.53"
04/06/26,UPI-SWIGGY-swiggy@icici-743550-ORDER,284382,04/06/26,596.01,,"55,007.52"
04/06/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-876314,284382,04/06/26,474.86,,"54,532.66"
04/06/26,UPI-NETFLIX ENTERTAINMENT-netflix@hdfcbank-AUTOPAY,284382,04/06/26,649.00,,"53,883.66"
05/06/26,UPI-FLIPKART INTERNET-flipkart@axisbank-587958,354382,05/06/26,"1,227.14",,"52,656.52"
05/06/26,UPI-BHARATPE098765-MERCHANT PAY-875864,354382,05/06/26,58.88,,"52,597.64"
05/06/26,UPI-ACT FIBERNET BROADBAND-act@icici,354382,05/06/26,799.00,,"51,798.64"
06/06/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-315183,424382,06/06/26,376.86,,"51,421.78"
06/06/26,UPI-SPOTIFY INDIA-spotify@icici-AUTOPAY,424382,06/06/26,119.00,,"51,302.78"
07/06/26,UPI-SWIGGY-swiggy@icici-215268-ORDER,494382,07/06/26,357.09,,"50,945.69"
08/06/26,UPI-BHARATPE098765-MERCHANT PAY-441824,564382,08/06/26,276.74,,"50,668.95"
08/06/26,UPI-AIRTEL PREPAID-airtel@axisbank-RECHARGE,564382,08/06/26,379.00,,"50,289.95"
09/06/26,UPI-SWIGGY-swiggy@icici-731535-ORDER,634382,09/06/26,599.07,,"49,690.88"
09/06/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-825674,634382,09/06/26,361.02,,"49,329.86"
09/06/26,UPI-BHARATPE098765-MERCHANT PAY-974716,634382,09/06/26,208.75,,"49,121.11"
10/06/26,UPI-DOMINOS PIZZA-jubilant@axisbank-195431,704382,10/06/26,748.82,,"48,372.29"
11/06/26,UPI-SWIGGY-swiggy@icici-207352-ORDER,774382,11/06/26,432.34,,"47,939.95"
11/06/26,UPI-UBER INDIA-uber@axisbank-743016,774382,11/06/26,330.94,,"47,609.01"
11/06/26,BILLPAY MSEDCL ELECTRICITY MAHARASHTRA,774382,11/06/26,"1,460.00",,"46,149.01"
12/06/26,UPI-SWIGGY-swiggy@icici-220956-ORDER,844382,12/06/26,372.85,,"45,776.16"
12/06/26,UPI-DOMINOS PIZZA-jubilant@axisbank-472974,844382,12/06/26,712.29,,"45,063.87"
12/06/26,UPI-RAPIDO BIKE-rapido@paytm-207119,844382,12/06/26,43.46,,"45,020.41"
13/06/26,UPI-SWIGGY-swiggy@icici-170619-ORDER,914382,13/06/26,179.26,,"44,841.15"
13/06/26,UPI-SHREE KIRANA STORES-q879461@ybl,914382,13/06/26,270.63,,"44,570.52"
14/06/26,UPI-SHREE KIRANA STORES-q448669@ybl,984382,14/06/26,397.76,,"44,172.76"
16/06/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-251118,124382,16/06/26,290.98,,"43,881.78"
16/06/26,UPI-RAPIDO BIKE-rapido@paytm-826161,124382,16/06/26,62.21,,"43,819.57"
16/06/26,POS 4532XXXX8821 INDIANOIL PETROL PUMP,124382,16/06/26,418.02,,"43,401.55"
17/06/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-823588,194382,17/06/26,311.94,,"43,089.61"
17/06/26,UPI-OLA CABS-olacabs@ybl-866513,194382,17/06/26,222.62,,"42,866.99"
17/06/26,POS 4532XXXX8821 IN*RAZ*ORDERS,194382,17/06/26,704.61,,"42,162.38"
18/06/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-894970,264382,18/06/26,543.94,,"41,618.44"
18/06/26,UPI-UBER INDIA-uber@axisbank-627116,264382,18/06/26,292.04,,"41,326.40"
18/06/26,UPI-9876543210@ybl-PAYMENT FROM PHONE-114934,264382,18/06/26,135.14,,"41,191.26"
20/06/26,UPI-SWIGGY-swiggy@icici-765226-ORDER,404382,20/06/26,326.83,,"40,864.43"
20/06/26,UPI-RAPIDO BIKE-rapido@paytm-568952,404382,20/06/26,135.43,,"40,729.00"
20/06/26,UPI-DMART READY-dmart@hdfcbank-739906,404382,20/06/26,"1,879.05",,"38,849.95"
20/06/26,UPI-MYNTRA DESIGNS-myntra@ybl-597399,404382,20/06/26,"1,426.51",,"37,423.44"
22/06/26,UPI-BIGBASKET-bbdaily@icici-507409,544382,22/06/26,283.93,,"37,139.51"
22/06/26,IMPS-CASHBACK CREDIT-711685,544382,22/06/26,,249.14,"37,388.65"
23/06/26,UPI-DOMINOS PIZZA-jubilant@axisbank-643578,614382,23/06/26,679.63,,"36,709.02"
24/06/26,UPI-OLA CABS-olacabs@ybl-309629,684382,24/06/26,325.10,,"36,383.92"
24/06/26,UPI-AMAZON PAY INDIA-amazon@apl-233209,684382,24/06/26,643.88,,"35,740.04"
25/06/26,UPI-SHREE KIRANA STORES-q287193@ybl,754382,25/06/26,167.73,,"35,572.31"
26/06/26,UPI-UBER INDIA-uber@axisbank-895158,824382,26/06/26,393.24,,"35,179.07"
26/06/26,UPI-RAPIDO BIKE-rapido@paytm-466497,824382,26/06/26,133.39,,"35,045.68"
26/06/26,UPI-BIGBASKET-bbdaily@icici-975192,824382,26/06/26,650.19,,"34,395.49"
26/06/26,UPI-9876543210@ybl-PAYMENT FROM PHONE-781233,824382,26/06/26,681.08,,"33,714.41"
27/06/26,UPI-DMART READY-dmart@hdfcbank-784697,894382,27/06/26,482.71,,"33,231.70"
28/06/26,UPI-SWIGGY-swiggy@icici-588625-ORDER,964382,28/06/26,379.39,,"32,852.31"
28/06/26,UPI-UBER INDIA-uber@axisbank-351016,964382,28/06/26,150.01,,"32,702.30"
28/06/26,NEFT-UTIB0000123-TRF-321293,964382,28/06/26,753.25,,"31,949.05"
30/06/26,UPI-9876543210@ybl-PAYMENT FROM PHONE-675311,104382,30/06/26,277.76,,"31,671.29"
01/07/26,UPI-BIGBASKET-bbdaily@icici-642568,75082,01/07/26,469.04,,"31,202.25"
01/07/26,NEFT-ACME SOFTWARE PVT LTD-SALARY CREDIT,75082,01/07/26,,"46,000.00","77,202.25"
02/07/26,UPI-MYNTRA DESIGNS-myntra@ybl-292250,145082,02/07/26,"1,399.59",,"75,802.66"
02/07/26,UPI-SANDEEP PATIL-sandeep1987@oksbi-HOUSE RENT,145082,02/07/26,"8,500.00",,"67,302.66"
03/07/26,UPI-UBER INDIA-uber@axisbank-549145,215082,03/07/26,345.17,,"66,957.49"
03/07/26,UPI-UBER INDIA-uber@axisbank-417487,215082,03/07/26,157.20,,"66,800.29"
03/07/26,UPI-CULT FITNESS GYM-cultfit@ybl-AUTOPAY,215082,03/07/26,"1,200.00",,"65,600.29"
04/07/26,UPI-SWIGGY-swiggy@icici-441817-ORDER,285082,04/07/26,411.54,,"65,188.75"
04/07/26,UPI-UBER INDIA-uber@axisbank-431328,285082,04/07/26,230.87,,"64,957.88"
04/07/26,UPI-BIGBASKET-bbdaily@icici-926658,285082,04/07/26,889.56,,"64,068.32"
04/07/26,UPI-NETFLIX ENTERTAINMENT-netflix@hdfcbank-AUTOPAY,285082,04/07/26,649.00,,"63,419.32"
05/07/26,UPI-SWIGGY-swiggy@icici-648936-ORDER,355082,05/07/26,399.96,,"63,019.36"
05/07/26,UPI-SWIGGY-swiggy@icici-860420-ORDER,355082,05/07/26,372.54,,"62,646.82"
05/07/26,UPI-ACT FIBERNET BROADBAND-act@icici,355082,05/07/26,799.00,,"61,847.82"
06/07/26,UPI-SPOTIFY INDIA-spotify@icici-AUTOPAY,425082,06/07/26,119.00,,"61,728.82"
08/07/26,UPI-RAPIDO BIKE-rapido@paytm-198697,565082,08/07/26,113.40,,"61,615.42"
08/07/26,UPI-AIRTEL PREPAID-airtel@axisbank-RECHARGE,565082,08/07/26,379.00,,"61,236.42"
09/07/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-202493,635082,09/07/26,177.72,,"61,058.70"
09/07/26,UPI-SHREE KIRANA STORES-q916838@ybl,635082,09/07/26,105.44,,"60,953.26"
09/07/26,UPI-AMAZON PAY INDIA-amazon@apl-959598,635082,09/07/26,"1,748.19",,"59,205.07"
11/07/26,POS 4532XXXX8821 INDIANOIL PETROL PUMP,775082,11/07/26,552.77,,"58,652.30"
11/07/26,POS 4532XXXX8821 INDIANOIL PETROL PUMP,775082,11/07/26,355.32,,"58,296.98"
11/07/26,UPI-DMART READY-dmart@hdfcbank-561853,775082,11/07/26,"1,266.75",,"57,030.23"
11/07/26,NEFT-UTIB0000123-TRF-538053,775082,11/07/26,"1,792.60",,"55,237.63"
11/07/26,BILLPAY MSEDCL ELECTRICITY MAHARASHTRA,775082,11/07/26,"1,460.00",,"53,777.63"
13/07/26,UPI-RAPIDO BIKE-rapido@paytm-270703,915082,13/07/26,127.92,,"53,649.71"
14/07/26,UPI-SWIGGY-swiggy@icici-626017-ORDER,985082,14/07/26,538.76,,"53,110.95"
14/07/26,POS 4532XXXX8821 INDIANOIL PETROL PUMP,985082,14/07/26,896.44,,"52,214.51"
15/07/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-630110,55082,15/07/26,296.76,,"51,917.75"
15/07/26,UPI-DOMINOS PIZZA-jubilant@axisbank-946580,55082,15/07/26,504.24,,"51,413.51"
16/07/26,UPI-SWIGGY-swiggy@icici-211263-ORDER,125082,16/07/26,518.61,,"50,894.90"
16/07/26,UPI-DOMINOS PIZZA-jubilant@axisbank-359685,125082,16/07/26,504.03,,"50,390.87"
17/07/26,UPI-SWIGGY-swiggy@icici-561504-ORDER,195082,17/07/26,158.79,,"50,232.08"
17/07/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-129219,195082,17/07/26,349.91,,"49,882.17"
17/07/26,UPI-UBER INDIA-uber@axisbank-372202,195082,17/07/26,429.38,,"49,452.79"
20/07/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-826381,405082,20/07/26,375.11,,"49,077.68"
20/07/26,UPI-BIGBASKET-bbdaily@icici-167413,405082,20/07/26,406.82,,"48,670.86"
20/07/26,POS 4532XXXX8821 IN*RAZ*ORDERS,405082,20/07/26,787.86,,"47,883.00"
20/07/26,UPI-BHARATPE098765-MERCHANT PAY-652510,405082,20/07/26,80.06,,"47,802.94"
21/07/26,UPI-OLA CABS-olacabs@ybl-249924,475082,21/07/26,277.88,,"47,525.06"
21/07/26,UPI-9876543210@ybl-PAYMENT FROM PHONE-373208,475082,21/07/26,107.57,,"47,417.49"
22/07/26,UPI-SWIGGY-swiggy@icici-682423-ORDER,545082,22/07/26,393.62,,"47,023.87"
22/07/26,UPI-RAPIDO BIKE-rapido@paytm-269309,545082,22/07/26,122.41,,"46,901.46"
23/07/26,UPI-MYNTRA DESIGNS-myntra@ybl-392618,615082,23/07/26,927.05,,"45,974.41"
23/07/26,UPI-BHARATPE098765-MERCHANT PAY-214768,615082,23/07/26,113.92,,"45,860.49"
25/07/26,UPI-SWIGGY-swiggy@icici-104123-ORDER,755082,25/07/26,236.06,,"45,624.43"
25/07/26,UPI-SWIGGY-swiggy@icici-280718-ORDER,755082,25/07/26,525.61,,"45,098.82"
25/07/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-166447,755082,25/07/26,535.49,,"44,563.33"
27/07/26,UPI-UBER INDIA-uber@axisbank-536875,895082,27/07/26,253.49,,"44,309.84"
28/07/26,UPI-FLIPKART INTERNET-flipkart@axisbank-958761,965082,28/07/26,"1,675.98",,"42,633.86"
28/07/26,NEFT-UTIB0000123-TRF-112107,965082,28/07/26,658.18,,"41,975.68"
29/07/26,UPI-SWIGGY-swiggy@icici-360565-ORDER,35082,29/07/26,413.34,,"41,562.34"
29/07/26,UPI-OLA CABS-olacabs@ybl-850906,35082,29/07/26,316.39,,"41,245.95"
29/07/26,UPI-RAPIDO BIKE-rapido@paytm-590456,35082,29/07/26,49.41,,"41,196.54"
29/07/26,UPI-SHREE KIRANA STORES-q378464@ybl,35082,29/07/26,130.86,,"41,065.68"
29/07/26,UPI-9876543210@ybl-PAYMENT FROM PHONE-117649,35082,29/07/26,97.07,,"40,968.61"
30/07/26,UPI-UBER INDIA-uber@axisbank-312429,105082,30/07/26,299.40,,"40,669.21"
31/07/26,UPI-FLIPKART INTERNET-flipkart@axisbank-256623,175082,31/07/26,762.05,,"39,907.16"
,*** This is a computer generated statement. No signature required. ***,,,,,
